cycle_label,cycle_code,component,file_code,description,url,filename,selected_for_download,local_path,download_status,file_size_bytes
2017-March_2020_PrePandemic,2017-2020,Dietary,DSBI,1999-2023 Dietary Supplement Database - Blend Information DSBI Doc DSBI Data [XPT - 10 MB] February 2025,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DSBI.xpt,DSBI.xpt,True,D:\47\472\New-Papers\Integrated Personalized Disability-Aware\Experiments\data_raw\2017-March_2020_PrePandemic\Dietary\DSBI.xpt,downloaded,10452880
2017-March_2020_PrePandemic,2017-2020,Dietary,DSII,1999-2023 Dietary Supplement Database - Ingredient Information DSII Doc DSII Data [XPT - 82.4 MB] February 2025,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DSII.xpt,DSII.xpt,True,D:\47\472\New-Papers\Integrated Personalized Disability-Aware\Experiments\data_raw\2017-March_2020_PrePandemic\Dietary\DSII.xpt,downloaded,86359040
2017-March_2020_PrePandemic,2017-2020,Dietary,DSPI,1999-2023 Dietary Supplement Database - Product Information DSPI Doc DSPI Data [XPT - 6.5 MB] February 2025,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DSPI.xpt,DSPI.xpt,True,D:\47\472\New-Papers\Integrated Personalized Disability-Aware\Experiments\data_raw\2017-March_2020_PrePandemic\Dietary\DSPI.xpt,downloaded,6842720
2017-March_2020_PrePandemic,2017-2020,Dietary,P_DR1IFF,"2017-2020 Dietary Interview - Individual Foods, First Day P_DR1IFF Doc P_DR1IFF Data [XPT - 117.9 MB] July 2022",https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_DR1IFF.xpt,P_DR1IFF.xpt,True,D:\47\472\New-Papers\Integrated Personalized Disability-Aware\Experiments\data_raw\2017-March_2020_PrePandemic\Dietary\P_DR1IFF.xpt,downloaded,123600000
2017-March_2020_PrePandemic,2017-2020,Dietary,P_DR1TOT,"2017-2020 Dietary Interview - Total Nutrient Intakes, First Day P_DR1TOT Doc P_DR1TOT Data [XPT - 18.4 MB] July 2022",https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_DR1TOT.xpt,P_DR1TOT.xpt,True,D:\47\472\New-Papers\Integrated Personalized Disability-Aware\Experiments\data_raw\2017-March_2020_PrePandemic\Dietary\P_DR1TOT.xpt,downloaded,19243440
2017-March_2020_PrePandemic,2017-2020,Dietary,P_DR2IFF,"2017-2020 Dietary Interview - Individual Foods, Second Day P_DR2IFF Doc P_DR2IFF Data [XPT - 95.8 MB] July 2022",https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_DR2IFF.xpt,P_DR2IFF.xpt,True,D:\47\472\New-Papers\Integrated Personalized Disability-Aware\Experiments\data_raw\2017-March_2020_PrePandemic\Dietary\P_DR2IFF.xpt,downloaded,100473120
2017-March_2020_PrePandemic,2017-2020,Dietary,P_DR2TOT,"2017-2020 Dietary Interview - Total Nutrient Intakes, Second Day P_DR2TOT Doc P_DR2TOT Data [XPT - 9.3 MB] July 2022",https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_DR2TOT.xpt,P_DR2TOT.xpt,True,D:\47\472\New-Papers\Integrated Personalized Disability-Aware\Experiments\data_raw\2017-March_2020_PrePandemic\Dietary\P_DR2TOT.xpt,downloaded,9736640
2017-March_2020_PrePandemic,2017-2020,Dietary,P_DRXFCD,2017-2020 Dietary Interview Technical Support File - Food Codes P_DRXFCD Doc P_DRXFCD Data [XPT - 4.7 MB] July 2022,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_DRXFCD.xpt,P_DRXFCD.xpt,True,D:\47\472\New-Papers\Integrated Personalized Disability-Aware\Experiments\data_raw\2017-March_2020_PrePandemic\Dietary\P_DRXFCD.xpt,downloaded,4974080
2017-March_2020_PrePandemic,2017-2020,Dietary,P_DS1IDS,"2017-2020 Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day P_DS1IDS Doc P_DS1IDS Data [XPT - 5.4 MB] July 2022",https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_DS1IDS.xpt,P_DS1IDS.xpt,True,D:\47\472\New-Papers\Integrated Personalized Disability-Aware\Experiments\data_raw\2017-March_2020_PrePandemic\Dietary\P_DS1IDS.xpt,downloaded,5698160
2017-March_2020_PrePandemic,2017-2020,Dietary,P_DS1TOT,"2017-2020 Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day P_DS1TOT Doc P_DS1TOT Data [XPT - 5.4 MB] July 2022",https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_DS1TOT.xpt,P_DS1TOT.xpt,True,D:\47\472\New-Papers\Integrated Personalized Disability-Aware\Experiments\data_raw\2017-March_2020_PrePandemic\Dietary\P_DS1TOT.xpt,downloaded,5613200
