column,in_2011_2018_training,in_later_external,selected_shared_predictor,training_missing_percent,external_missing_percent
BMI,True,True,True,0.0,0.0
HDL,True,True,True,0.0,0.0
HbA1c,True,True,True,0.0,0.0
LDL,True,True,True,0.0,0.0
MET_min_week,True,True,True,0.0,0.0
PHQ9_category,True,True,True,2.36,0.0
PHQ9_score,True,True,True,0.0,0.0
age,True,True,True,0.0,0.0
arthritis,True,True,True,0.38,0.0
arthritis_type,True,True,True,65.7,0.0
education,True,True,True,0.0,0.0
fasting_glucose,True,True,True,0.0,0.0
height_cm,True,True,True,0.0,0.0
income_poverty_ratio,True,True,True,23.92,0.0
max_grip_strength,True,False,False,0.0,
mean_DBP,True,False,False,0.0,
mean_SBP,True,False,False,0.0,
medication_count,True,True,True,0.0,0.0
meets_activity_guideline,True,True,True,0.0,0.0
polypharmacy,True,True,True,0.0,0.0
race_ethnicity,True,True,True,12.22,0.0
sedentary_minutes_day,True,True,True,0.0,0.0
sex,True,True,True,0.0,0.0
smoking_status,True,True,True,0.1,0.0
total_cholesterol,True,True,True,0.0,0.0
triglycerides,True,True,True,0.0,0.0
weight_kg,True,True,True,0.0,0.0
