attribute,subgroup,n,accuracy,balanced_accuracy,f1_macro,f1_weighted,mean_prediction_confidence
age,"(-0.434, 0.177]",431,0.7703016241299304,0.5494801083322879,0.5296859010434394,0.7312069725566769,0.5763604640960693
age,"(-2.881, -0.434]",400,0.6875,0.5010063090508635,0.45220660961115605,0.6071208546882791,0.6012365221977234
age,"(0.177, 0.72]",366,0.7486338797814208,0.5224955964681992,0.4997066615609166,0.7087411231241043,0.5620197653770447
age,"(0.72, 1.196]",378,0.7407407407407407,0.5234096964728241,0.49612064184867566,0.6816668607097841,0.5772492289543152
education,-0.08858453049306705,378,0.7275132275132276,0.516848604062184,0.4897517730629918,0.6716230312821411,0.5693718791007996
education,-1.0377045000616427,243,0.6995884773662552,0.528984203794099,0.502480598669623,0.6532335550628234,0.5292114615440369
education,-1.9868244696302182,188,0.6914893617021277,0.5490384615384616,0.5264995458913035,0.6690699327392626,0.5212293863296509
education,0.8605354390755086,766,0.7650130548302873,0.5026418789573817,0.4575563639433799,0.6928650754734917,0.6148738265037537
income_poverty_ratio,"(-0.254, 0.354]",212,0.6933962264150944,0.5062021312021312,0.4695548489666137,0.6341399946005939,0.5770966410636902
income_poverty_ratio,"(-0.632, -0.254]",574,0.7839721254355401,0.5474585204079095,0.5284550446122169,0.7393562592219706,0.5680740475654602
income_poverty_ratio,"(-1.6289999999999998, -0.632]",396,0.6767676767676768,0.5148342949728824,0.49326741619487735,0.6347059578924864,0.5528780221939087
income_poverty_ratio,"(0.354, 2.973]",393,0.7531806615776081,0.49855025225327365,0.441459543029788,0.672417833735079,0.6245463490486145
race_ethnicity,-1.0088293731642732,154,0.6883116883116883,0.5223440803382664,0.48483427141963725,0.6356042331652088,0.5419021248817444
race_ethnicity,-2.1325254571343795,186,0.7150537634408602,0.5736111111111111,0.5391493551870911,0.6718109272887118,0.5420904755592346
race_ethnicity,0.1148667108058331,870,0.767816091954023,0.524430803032498,0.49995030104034516,0.7143376287323746,0.5835732817649841
race_ethnicity,1.2385627947759394,365,0.6958904109589041,0.4823155216284987,0.43827169229245233,0.6231631294200639,0.6049724221229553
sex,-1.0578627899739654,743,0.7671601615074024,0.5478298153601776,0.5270818211102759,0.7359081126412824,0.5655718445777893
sex,0.9447019867195388,832,0.7103365384615384,0.4894545908215973,0.44616457872099047,0.6307169098353685,0.5920499563217163
