specialist_team,feature
nutritional_metabolic,BMI
nutritional_metabolic,HDL
nutritional_metabolic,HbA1c
nutritional_metabolic,LDL
nutritional_metabolic,fasting_glucose
nutritional_metabolic,height_cm
nutritional_metabolic,total_cholesterol
nutritional_metabolic,triglycerides
nutritional_metabolic,weight_kg
physiological,cycle
physiological,target_binary
behavioral,MET_min_week
behavioral,PHQ9_category
behavioral,PHQ9_score
behavioral,meets_activity_guideline
behavioral,sedentary_minutes_day
behavioral,smoking_status
demographic_fairness,age
demographic_fairness,education
demographic_fairness,income_poverty_ratio
demographic_fairness,race_ethnicity
demographic_fairness,sex
functional_disability,arthritis
functional_disability,arthritis_type
functional_disability,medication_count
functional_disability,polypharmacy
