epoch,nutritional_metabolic,physiological,behavioral,demographic_fairness,functional_disability
1,-1.238987684249878,-0.8563845753669739,-1.1827983856201172,-1.209883451461792,-1.2212486267089844
2,-1.2043259143829346,-0.5863298773765564,-1.1692850589752197,-1.202096700668335,-1.1614969968795776
3,-1.2095844745635986,-0.5517852902412415,-1.2226976156234741,-1.209073781967163,-1.22331964969635
4,-1.224602222442627,-0.5311734080314636,-1.2678321599960327,-1.2308509349822998,-1.2954391241073608
5,-1.237899899482727,-0.5181176066398621,-1.328134298324585,-1.251221776008606,-1.3882910013198853
6,-1.2425758838653564,-0.5185145735740662,-1.391396164894104,-1.2684104442596436,-1.4793174266815186
7,-1.2522693872451782,-0.5145306587219238,-1.4416613578796387,-1.2969746589660645,-1.5800284147262573
8,-1.2635142803192139,-0.5118833184242249,-1.477938175201416,-1.3384817838668823,-1.6458784341812134
9,-1.275272011756897,-0.5118730068206787,-1.5130054950714111,-1.3781803846359253,-1.7223111391067505
10,-1.2850165367126465,-0.5120165348052979,-1.5494107007980347,-1.4127558469772339,-1.8217527866363525
11,-1.2986364364624023,-0.5114274621009827,-1.5883779525756836,-1.4488738775253296,-1.9095691442489624
12,-1.3204525709152222,-0.5104618668556213,-1.6355493068695068,-1.5029213428497314,-1.9917634725570679
13,-1.3420491218566895,-0.5099075436592102,-1.6941386461257935,-1.5385493040084839,-2.1035399436950684
14,-1.3662737607955933,-0.509473443031311,-1.7495368719100952,-1.597151756286621,-2.2090611457824707
15,-1.4025036096572876,-0.509978711605072,-1.7801586389541626,-1.6437126398086548,-2.315080165863037
