iteration,best_score,optimizer
1,0.720334754177291,PSO
2,0.720334754177291,PSO
3,0.720334754177291,PSO
4,0.7211125017349097,PSO
5,0.7211125017349097,PSO
6,0.7211125017349097,PSO
7,0.7211125017349097,PSO
8,0.7211125017349097,PSO
9,0.7211125017349097,PSO
10,0.7221475626109998,PSO
11,0.7227660368502703,PSO
12,0.7227660368502703,PSO
13,0.7227660368502703,PSO
14,0.7227660368502703,PSO
15,0.7227660368502703,PSO
16,0.7227660368502703,PSO
17,0.7234356653163184,PSO
18,0.7237298211935423,PSO
19,0.7237298211935423,PSO
20,0.7241538277833517,PSO
21,0.7241538277833517,PSO
22,0.7241538277833517,PSO
23,0.7241538277833517,PSO
24,0.7241538277833517,PSO
25,0.7241538277833517,PSO
26,0.7241538277833517,PSO
27,0.7241538277833517,PSO
28,0.7241538277833517,PSO
29,0.7241538277833517,PSO
30,0.7241538277833517,PSO
31,0.7241538277833517,PSO
32,0.7241538277833517,PSO
33,0.7241538277833517,PSO
34,0.7241538277833517,PSO
35,0.7241538277833517,PSO
36,0.7241557738853809,PSO
37,0.7241557738853809,PSO
38,0.7241557738853809,PSO
39,0.7241557738853809,PSO
40,0.7241557738853809,PSO
1,0.7204741904120872,ACO
2,0.7204741904120872,ACO
3,0.7204741904120872,ACO
4,0.7204741904120872,ACO
5,0.7204741904120872,ACO
6,0.7204741904120872,ACO
7,0.7204741904120872,ACO
8,0.7204741904120872,ACO
9,0.7204741904120872,ACO
10,0.7204741904120872,ACO
11,0.7204741904120872,ACO
12,0.7211166265369794,ACO
13,0.7211166265369794,ACO
14,0.7211166265369794,ACO
15,0.7211166265369794,ACO
16,0.7211166265369794,ACO
17,0.7211166265369794,ACO
18,0.7211166265369794,ACO
19,0.7211166265369794,ACO
20,0.7211166265369794,ACO
21,0.7211166265369794,ACO
22,0.7211166265369794,ACO
23,0.7211166265369794,ACO
24,0.7211166265369794,ACO
25,0.7211166265369794,ACO
26,0.7211166265369794,ACO
27,0.7211166265369794,ACO
28,0.7211166265369794,ACO
29,0.7212634398238489,ACO
30,0.7212634398238489,ACO
31,0.7212634398238489,ACO
32,0.7212634398238489,ACO
33,0.7212634398238489,ACO
34,0.7212634398238489,ACO
35,0.7212634398238489,ACO
36,0.7212634398238489,ACO
37,0.7212634398238489,ACO
38,0.7212634398238489,ACO
39,0.7212634398238489,ACO
40,0.7212634398238489,ACO
1,0.7188854719741217,BCO
2,0.7194122946622543,BCO
3,0.7194122946622543,BCO
4,0.7209884316668939,BCO
5,0.7209884316668939,BCO
6,0.7209884316668939,BCO
7,0.7209884316668939,BCO
8,0.7209884316668939,BCO
9,0.7209884316668939,BCO
10,0.7209884316668939,BCO
11,0.7209884316668939,BCO
12,0.7209884316668939,BCO
13,0.7209884316668939,BCO
14,0.7209884316668939,BCO
15,0.7209884316668939,BCO
16,0.7209884316668939,BCO
17,0.7209884316668939,BCO
18,0.7209884316668939,BCO
19,0.7209884316668939,BCO
20,0.7209884316668939,BCO
21,0.7209884316668939,BCO
22,0.7209884316668939,BCO
23,0.7209884316668939,BCO
24,0.7209884316668939,BCO
25,0.7209884316668939,BCO
26,0.7209884316668939,BCO
27,0.7209884316668939,BCO
28,0.7215296280332784,BCO
29,0.7215296280332784,BCO
30,0.7218659737985684,BCO
31,0.7218659737985684,BCO
32,0.7218659737985684,BCO
33,0.7228591190574936,BCO
34,0.7228591190574936,BCO
35,0.7230591054400634,BCO
36,0.7230591054400634,BCO
37,0.7230591054400634,BCO
38,0.7230591054400634,BCO
39,0.7230591054400634,BCO
40,0.7230591054400634,BCO
1,0.7182651828557387,HHO
2,0.7188765288021066,HHO
3,0.7188765288021066,HHO
4,0.7193459882625818,HHO
5,0.7204751417009272,HHO
6,0.7204751417009272,HHO
7,0.7204751417009272,HHO
8,0.7204751417009272,HHO
9,0.7204751417009272,HHO
10,0.7204901831510615,HHO
11,0.7210437374606427,HHO
12,0.7210437374606427,HHO
13,0.7210798060375573,HHO
14,0.7210842933008871,HHO
15,0.7210863050386792,HHO
16,0.7211106735975461,HHO
17,0.7214250831698166,HHO
18,0.7217893876138011,HHO
19,0.7218087131559161,HHO
20,0.7218163837753658,HHO
21,0.7218303468458547,HHO
22,0.7219743852989977,HHO
23,0.7219743852989977,HHO
24,0.7219764059054294,HHO
25,0.7219764059054294,HHO
26,0.7219764059054294,HHO
27,0.7219772749068312,HHO
28,0.7219772749068312,HHO
29,0.7219775118835574,HHO
30,0.7221563382405297,HHO
31,0.7221694646044099,HHO
32,0.7224876320690493,HHO
33,0.722488445301883,HHO
34,0.7226970844119891,HHO
35,0.7233408359350472,HHO
36,0.723343203389024,HHO
37,0.7233459516133068,HHO
38,0.7233462690583689,HHO
39,0.7233485828572924,HHO
40,0.7233485828572924,HHO
