attribute,subgroup,n,accuracy,balanced_accuracy,f1_macro,f1_weighted,binary_f1_merge01_vs_23,binary_balanced_accuracy_merge01_vs_23,mean_prediction_confidence
disability_stage,0.0,3576,0.9997203579418344,0.9997203579418344,0.4999300797091316,0.9998601594182632,0.0,1.0,0.8335250020027161
disability_stage,1.0,13283,0.0,0.0,0.0,0.0,1.0,1.0,0.6151212453842163
age,"(-0.58, 0.249]",4041,0.2323682256867112,0.49946808510638296,0.24986695050558808,0.23249189158649125,1.0,1.0,0.6568489670753479
age,"(-1.754, -0.58]",4257,0.2219873150105708,0.5,0.25,0.2219873150105708,1.0,1.0,0.6719130277633667
age,"(-2.9299999999999997, -1.754]",4370,0.19839816933638443,0.5,0.25,0.19839816933638443,1.0,1.0,0.6813637614250183
age,"(0.249, 1.217]",4191,0.19661178716296826,0.5,0.25,0.19661178716296826,1.0,1.0,0.6344836950302124
education,-0.0600136664518134,3937,0.18491236982473966,0.5,0.25,0.18491236982473966,1.0,1.0,0.6471867561340332
education,-0.9885198448820816,1684,0.14726840855106887,0.5,0.25,0.14726840855106887,1.0,1.0,0.6265164017677307
education,-1.9170260233123495,1076,0.12267657992565056,0.5,0.25,0.12267657992565056,1.0,1.0,0.6148043274879456
education,0.8684925119784547,10162,0.24276717181657154,0.4997974068071313,0.24994934143870315,0.24281636475918886,1.0,1.0,0.6776995658874512
income_poverty_ratio,"(-0.24, 0.621]",2600,0.18653846153846154,0.5,0.25,0.18653846153846154,1.0,1.0,0.6505081653594971
income_poverty_ratio,"(-0.259, -0.24]",5811,0.23765272758561348,0.5,0.25,0.23765272758561348,1.0,1.0,0.664161741733551
income_poverty_ratio,"(-1.65, -0.259]",4252,0.17497648165569143,0.4993288590604027,0.24983210208193418,0.17509399440361334,1.0,1.0,0.6414644718170166
income_poverty_ratio,"(0.621, 3.071]",4196,0.2299809342230696,0.5,0.25,0.2299809342230696,1.0,1.0,0.6847161650657654
race_ethnicity,-1.02243636143583,1703,0.23781561949500882,0.4987684729064039,0.249691738594328,0.23810885700363396,1.0,1.0,0.658056378364563
race_ethnicity,-2.156094300511255,1596,0.17481203007518797,0.5,0.25,0.17481203007518797,1.0,1.0,0.6361328959465027
race_ethnicity,0.1112215776395947,10134,0.23958950069074403,0.5,0.25,0.23958950069074403,1.0,1.0,0.6656833291053772
race_ethnicity,1.2448795167150195,3426,0.13514302393461763,0.5,0.25,0.13514302393461763,1.0,1.0,0.6623956561088562
sex,-1.0119092555677698,7883,0.17163516427755932,0.5,0.25,0.17163516427755932,1.0,1.0,0.6429638862609863
sex,0.9882309055854148,8976,0.24754901960784315,0.49977507872244714,0.2499437570303712,0.24760471117580887,1.0,1.0,0.6776800751686096
