cycle_inferred,normalized_code,files
2017-March_2020_PrePandemic,BMX,1
2017-March_2020_PrePandemic,BPQ,1
2017-March_2020_PrePandemic,BPXO,1
2017-March_2020_PrePandemic,DPQ,1
2017-March_2020_PrePandemic,DR1IFF,1
2017-March_2020_PrePandemic,DR1TOT,1
2017-March_2020_PrePandemic,DR2IFF,1
2017-March_2020_PrePandemic,DR2TOT,1
2017-March_2020_PrePandemic,DRXFCD,1
2017-March_2020_PrePandemic,DS1IDS,1
2017-March_2020_PrePandemic,DS1TOT,1
2017-March_2020_PrePandemic,DS2IDS,1
2017-March_2020_PrePandemic,DS2TOT,1
2017-March_2020_PrePandemic,DSBI,1
2017-March_2020_PrePandemic,DSII,1
2017-March_2020_PrePandemic,DSPI,1
2017-March_2020_PrePandemic,DSQIDS,1
2017-March_2020_PrePandemic,DSQTOT,1
2017-March_2020_PrePandemic,GHB,1
2017-March_2020_PrePandemic,GLU,1
2017-March_2020_PrePandemic,HDL,1
2017-March_2020_PrePandemic,MCQ,1
2017-March_2020_PrePandemic,PAQ,1
2017-March_2020_PrePandemic,PAQY,1
2017-March_2020_PrePandemic,RXQ_DRUG,1
2017-March_2020_PrePandemic,RXQ_RX,1
2017-March_2020_PrePandemic,SMQ,1
2017-March_2020_PrePandemic,SMQFAM,1
2017-March_2020_PrePandemic,SMQRTU,1
2017-March_2020_PrePandemic,SMQSHS,1
2017-March_2020_PrePandemic,TCHOL,1
2017-March_2020_PrePandemic,TRIGLY,1
2021-August_2023,BMX,1
2021-August_2023,BPQ,1
2021-August_2023,BPXO,1
2021-August_2023,DPQ,1
2021-August_2023,DR1IFF,1
2021-August_2023,DR1TOT,1
2021-August_2023,DR2IFF,1
2021-August_2023,DR2TOT,1
2021-August_2023,DRXFCD,1
2021-August_2023,DSBI,1
2021-August_2023,DSII,1
2021-August_2023,DSPI,1
2021-August_2023,DSQIDS,1
2021-August_2023,DSQTOT,1
2021-August_2023,FNQ,1
2021-August_2023,GHB,1
2021-August_2023,GLU,1
2021-August_2023,HDL,1
2021-August_2023,MCQ,1
2021-August_2023,PAQ,1
2021-August_2023,PAQY,1
2021-August_2023,RXQ_RX,1
2021-August_2023,SMQ,1
2021-August_2023,SMQFAM,1
2021-August_2023,SMQRTU,1
2021-August_2023,TCHOL,1
2021-August_2023,TRIGLY,1
