factor,stage,n,mean,median,std,min,max
upper_limb_difficulty,0,4075,0.0,0.0,0.0,0.0,0.0
upper_limb_difficulty,1,511,1.0,1.0,0.0,1.0,1.0
upper_limb_difficulty,2,3773,0.4861,0.0,0.4999,0.0,1.0
upper_limb_difficulty,3,2136,0.8301,1.0,0.3757,0.0,1.0
mobility_difficulty,0,4047,0.0,0.0,0.0,0.0,0.0
mobility_difficulty,1,477,0.0,0.0,0.0,0.0,0.0
mobility_difficulty,2,3773,1.0,1.0,0.0,1.0,1.0
mobility_difficulty,3,2064,0.9084,1.0,0.2885,0.0,1.0
adl_difficulty,0,4074,0.0,0.0,0.0,0.0,0.0
adl_difficulty,1,510,0.0,0.0,0.0,0.0,0.0
adl_difficulty,2,3773,0.0,0.0,0.0,0.0,0.0
adl_difficulty,3,2140,1.0,1.0,0.0,1.0,1.0
age,0,4075,62.4123,65.0,14.1353,20.0,80.0
age,1,511,62.5421,65.0,15.2111,20.0,80.0
age,2,3773,62.1839,65.0,15.1374,20.0,80.0
age,3,2140,62.9907,64.0,13.8819,20.0,80.0
sex,0,4075,1.4398,1.0,0.4964,1.0,2.0
sex,1,511,1.6262,2.0,0.4843,1.0,2.0
sex,2,3773,1.5815,2.0,0.4934,1.0,2.0
sex,3,2140,1.4991,1.0,0.5001,1.0,2.0
race_ethnicity,0,3492,2.8542,3.0,0.9677,1.0,4.0
race_ethnicity,1,439,2.7449,3.0,0.9993,1.0,4.0
race_ethnicity,2,3378,2.9728,3.0,0.8723,1.0,4.0
race_ethnicity,3,1907,2.8485,3.0,0.9807,1.0,4.0
education,0,4075,3.1826,4.0,1.0461,1.0,4.0
education,1,511,3.0039,3.0,1.115,1.0,4.0
education,2,3773,3.0686,3.0,1.0399,1.0,4.0
education,3,2140,2.8748,3.0,1.1381,1.0,4.0
income_poverty_ratio,0,2890,2.0318,1.74,1.2523,0.0,4.99
income_poverty_ratio,1,386,1.9106,1.63,1.213,0.0,4.99
income_poverty_ratio,2,2976,1.7537,1.415,1.1805,0.0,4.99
income_poverty_ratio,3,1736,1.5764,1.25,1.0902,0.0,4.98
BMI,0,4075,28.1922,27.5,5.6162,15.4,71.5
BMI,1,511,28.1886,27.2,6.1838,13.4,63.4
BMI,2,3773,30.7348,29.5,7.8122,14.2,82.1033
BMI,3,2140,31.6207,30.3,8.1911,13.6,84.4041
height_cm,0,4075,166.5837,166.6,9.8688,136.1,202.7
height_cm,1,511,162.8187,162.1,9.8908,140.0,191.9
height_cm,2,3773,165.1064,164.6,10.0844,129.7,202.6
height_cm,3,2140,165.0357,164.88,10.0916,134.5,195.6
weight_kg,0,4075,78.5236,76.3,18.2974,35.6,191.6
weight_kg,1,511,75.0833,73.4,19.0244,29.1,163.2
weight_kg,2,3773,83.9695,80.4644,23.145,32.4,203.5
weight_kg,3,2140,86.3268,82.6,24.1414,32.3,219.6
mean_SBP,0,4075,131.5161,129.3333,19.1587,83.0,231.3333
mean_SBP,1,511,132.2305,128.6667,20.6843,83.3333,216.6667
mean_SBP,2,3773,131.566,128.6667,21.1579,70.6667,224.6667
mean_SBP,3,2140,132.2912,129.8,20.8294,72.6667,234.6667
mean_DBP,0,4075,71.389,71.3333,10.9695,40.0,135.3333
mean_DBP,1,511,70.3548,69.3333,12.1498,40.0,122.6667
mean_DBP,2,3773,70.4196,70.3713,11.7066,40.6667,138.6667
mean_DBP,3,2140,70.9145,70.6667,11.6706,40.0,124.6667
max_grip_strength,0,4075,34.0145,33.3559,8.7657,8.7,81.5
max_grip_strength,1,511,30.6308,29.9,8.4932,6.1,63.8
max_grip_strength,2,3773,32.0053,31.4,8.9683,7.7,77.9
max_grip_strength,3,2140,31.2617,31.02,8.8264,8.3,68.5
HbA1c,0,4075,5.9882,5.8,1.0533,4.0,17.0
HbA1c,1,511,5.9934,5.8,0.9506,4.4,12.2
HbA1c,2,3773,6.0756,5.8,1.1473,3.8,17.8
HbA1c,3,2140,6.2202,5.9639,1.3233,3.5,16.9
fasting_glucose,0,4075,115.3541,109.0,31.701,54.0,451.0
fasting_glucose,1,511,115.9683,109.2171,30.2633,65.5291,310.0
fasting_glucose,2,3773,118.3947,111.0,36.3403,47.0,479.0
fasting_glucose,3,2140,122.6384,113.8885,41.849,47.0,461.0
total_cholesterol,0,4075,192.4741,186.1865,40.2044,76.0,475.0
total_cholesterol,1,511,193.1762,186.1865,40.5636,100.0,398.0
total_cholesterol,2,3773,188.8427,186.1865,41.3149,79.0,401.0
total_cholesterol,3,2140,186.1323,186.1865,39.9235,75.0,446.0
HDL,0,4075,54.633,54.0,15.6234,16.0,158.0
HDL,1,511,56.0683,54.022,16.7,18.0,152.0
HDL,2,3773,52.643,52.0,15.3716,11.0,156.0
HDL,3,2140,51.6582,52.0,14.9322,18.0,147.0
triglycerides,0,4075,142.3197,120.0,157.4429,-355.9035,2141.0
triglycerides,1,511,136.1099,122.0,147.2276,-232.9524,1335.7179
triglycerides,2,3773,142.6941,124.4691,158.924,-395.8931,1562.0
triglycerides,3,2140,134.3372,124.4691,155.557,-379.6908,1407.0
LDL,0,4075,109.3772,107.2707,24.6364,-139.8,356.6
LDL,1,511,109.8859,107.2707,25.8406,30.0,290.2
LDL,2,3773,107.661,107.2707,25.0746,-47.4,331.0
LDL,3,2140,107.6067,107.2707,23.9075,-88.4,354.4
smoking_status,0,4070,0.6256,0.0,0.7405,0.0,2.0
smoking_status,1,508,0.6831,0.0,0.7819,0.0,2.0
smoking_status,2,3773,0.767,1.0,0.7927,0.0,2.0
smoking_status,3,2137,0.7932,1.0,0.7922,0.0,2.0
MET_min_week,0,4075,1320.695,180.0,3126.1389,0.0,34560.0
MET_min_week,1,511,1037.2211,0.0,2374.717,0.0,23280.0
MET_min_week,2,3773,926.6409,0.0,2666.4485,0.0,35280.0
MET_min_week,3,2140,786.532,0.0,2324.4547,0.0,27840.0
meets_activity_guideline,0,4075,0.3674,0.0,0.4821,0.0,1.0
meets_activity_guideline,1,511,0.3346,0.0,0.4723,0.0,1.0
meets_activity_guideline,2,3773,0.2701,0.0,0.4441,0.0,1.0
meets_activity_guideline,3,2140,0.2341,0.0,0.4235,0.0,1.0
sedentary_minutes_day,0,4075,345.2337,300.0,183.7125,0.0,1380.0
sedentary_minutes_day,1,511,350.6732,300.0,201.1473,0.0,1020.0
sedentary_minutes_day,2,3773,402.6468,360.0,202.6643,1.0,1380.0
sedentary_minutes_day,3,2140,400.9461,360.0,224.1239,0.0,1320.0
PHQ9_score,0,4075,2.705,1.0,3.959,0.0,27.0
PHQ9_score,1,511,3.3513,2.0,4.0704,0.0,21.9985
PHQ9_score,2,3773,4.8385,3.0,4.9467,0.0,27.0
PHQ9_score,3,2140,6.6425,5.0,5.8295,0.0,27.0
PHQ9_category,0,4012,0.3031,0.0,0.7,0.0,4.0
PHQ9_category,1,498,0.3956,0.0,0.76,0.0,4.0
PHQ9_category,2,3674,0.6339,0.0,0.9505,0.0,4.0
PHQ9_category,3,2067,0.9647,1.0,1.1369,0.0,4.0
arthritis,0,4062,0.2905,0.0,0.454,0.0,1.0
arthritis,1,510,0.502,1.0,0.5005,0.0,1.0
arthritis,2,3757,0.5518,1.0,0.4974,0.0,1.0
arthritis,3,2130,0.6681,1.0,0.471,0.0,1.0
arthritis_type,0,843,1.6287,1.0,1.0146,1.0,4.0
arthritis_type,1,175,1.6686,1.0,0.937,1.0,4.0
arthritis_type,2,1516,1.6339,1.0,0.991,1.0,4.0
arthritis_type,3,1067,1.6448,1.0,0.9342,1.0,4.0
medication_count,0,4075,2.8184,2.0,2.2864,1.0,17.0
medication_count,1,511,3.3601,3.0,2.689,1.0,19.0
medication_count,2,3773,4.4063,4.0,3.3114,1.0,23.0
medication_count,3,2140,5.4687,5.0,3.7661,1.0,20.0
polypharmacy,0,4075,0.1953,0.0,0.3965,0.0,1.0
polypharmacy,1,511,0.2818,0.0,0.4503,0.0,1.0
polypharmacy,2,3773,0.4169,0.0,0.4931,0.0,1.0
polypharmacy,3,2140,0.5425,1.0,0.4983,0.0,1.0
